#1	
"double Cosine(6247, 2)"	
968	0.961365
968.5	0.989882
969	1
969.5	1
970	1
970.5	0
971	0
971.5	0
972	0
972.5	0
973	0
973.5	0
974	0
974.5	0
975	0
975.5	0.993187
976	0.967758
976.5	0.929321
977	0.887186
977.5	0.852834
978	0.83826
978.5	0.850002
979	0.882337
979.5	0.92386
980	0.963179
980.5	0.990777
981	1
981.5	1
982	1
982.5	0
983	0
983.5	0
984	0
984.5	0
985	0
985.5	0
986	0
986.5	0
987	0
987.5	0.993757
988	0.969093
988.5	0.931419
989	0.890034
989.5	0.856307
990	0.842073
990.5	0.853759
991	0.885646
991.5	0.926467
992	0.964949
992.5	0.99163
993	1
993.5	1
994	1
994.5	0
995	0
995.5	0
996	0
996.5	0
997	0
997.5	0
998	0
998.5	0
999	0
999.5	0.994303
1000	0.970331
1000.5	0.933482
1001	0.892846
1001.5	0.85974
1002	0.845843
1002.5	0.857469
1003	0.888907
1003.5	0.929027
1004	0.966675
1004.5	0.992442
1005	1
1005.5	0
1006	0
1006.5	0
1007	0
1007.5	0
1008	0
1008.5	0
1009	0
1009.5	0
1010	0
1010.5	0
1011	0
1011.5	0
1012	0.971604
1012.5	0.935519
1013	0.895624
1013.5	0.863134
1014	0.849568
1014.5	0.861131
1015	0.892118
1015.5	0.93154
1016	0.968361
1016.5	0.993212
1017	1
1017.5	1
1018	1
1018.5	0
1019	0
1019.5	0
1020	0
1020.5	0
1021	0
1021.5	0
1022	0
1022.5	0
1023	0
1023.5	0.995316
1024	0.972905
1024.5	0.937521
1025	0.898364
1025.5	0.866487
1026	0.853248
1026.5	0.864743
1027	0.89528
1027.5	0.934005
1028	0.969991
1028.5	0.993939
1029	1
1029.5	1
1030	1
1030.5	0
1031	0
1031.5	0
1032	0
1032.5	0
1033	0
1033.5	0
1034	0
1034.5	0
1035	0
1035.5	0.995785
1036	0.974117
1036.5	0.93949
1037	0.901068
1037.5	0.869798
1038	0.856881
1038.5	0.868305
1039	0.89839
1039.5	0.936421
1040	0.97158
1040.5	0.994625
1041	1
1041.5	1
1042	1
1042.5	0
1043	0
1043.5	0
1044	0
1044.5	0
1045	0
1045.5	0
1046	0
1046.5	0
1047	1
1047.5	0.996229
1048	0.9753
1048.5	0.941426
1049	0.903733
1049.5	0.873067
1050	0.860466
1050.5	0.871815
1051	0.901448
1051.5	0.938787
1052	0.973122
1052.5	0.995268
1053	1
1053.5	1
1054	1
1054.5	0
1055	0
1055.5	0
1056	0
1056.5	0
1057	0
1057.5	0
1058	0
1058.5	0
1059	1
1059.5	0.996647
1060	0.976453
1060.5	0.943329
1061	0.906361
1061.5	0.876291
1062	0.864002
1062.5	0.875272
1063	0.904453
1063.5	0.941103
1064	0.974618
1064.5	0.995869
1065	1
1065.5	1
1066	1
1066.5	0
1067	0
1067.5	0
1068	0
1068.5	0
1069	0
1069.5	0
1070	0
1070.5	0
1071	1
1071.5	0.99704
1072	0.977578
1072.5	0.945198
1073	0.90895
1073.5	0.879472
1074	0.867489
1074.5	0.878675
1075	0.907404
1075.5	0.943369
