time,process,process_on,process_status,w_dot_gen_kWe,elec_sold_kWe,price_elec,m_dot_hpt,m_dot_extract,hot_TES_inventory,cold_TES_inventory,v_dot_in_m3hr,capacity_m3day
58,CRY,0,OFF,0.0,0.0,-0.02111666,33.16427391062665,11.97485764837208,520959085.6097102,4111.570379746232,0.0,0.0
59,RO,0,OFF,0.0,0.0,-0.01680249,33.16422635046535,11.974582771095774,529941140.29681396,4182.457181149301,0.0,0.0
59,MED,0,OFF,0.0,0.0,-0.01680249,33.16422635046535,11.974582771095774,529941140.29681396,4182.457181149301,0.0,0.0
59,ED,0,OFF,0.0,0.0,-0.01680249,33.16422635046535,11.974582771095774,529941140.29681396,4182.457181149301,0.0,0.0
59,CRY,0,OFF,0.0,0.0,-0.01680249,33.16422635046535,11.974582771095774,529941140.29681396,4182.457181149301,0.0,0.0
60,RO,0,OFF,0.0,0.0,-0.01547888,33.16420193430782,11.974441656206805,538923195.5140496,4253.343147184382,0.0,0.0
60,MED,0,OFF,0.0,0.0,-0.01547888,33.16420193430782,11.974441656206805,538923195.5140496,4253.343147184382,0.0,0.0
60,ED,0,OFF,0.0,0.0,-0.01547888,33.16420193430782,11.974441656206805,538923195.5140496,4253.343147184382,0.0,0.0
60,CRY,0,OFF,0.0,0.0,-0.01547888,33.16420193430782,11.974441656206805,538923195.5140496,4253.343147184382,0.0,0.0
61,RO,0,OFF,0.0,0.0,-0.01520729,33.16419607561544,11.974407795484776,547905250.8584913,4324.228912771705,0.0,0.0
61,MED,0,OFF,0.0,0.0,-0.01520729,33.16419607561544,11.974407795484776,547905250.8584913,4324.228912771705,0.0,0.0
61,ED,0,OFF,0.0,0.0,-0.01520729,33.16419607561544,11.974407795484776,547905250.8584913,4324.228912771705,0.0,0.0
61,CRY,0,OFF,0.0,0.0,-0.01520729,33.16419607561544,11.974407795484776,547905250.8584913,4324.228912771705,0.0,0.0
62,RO,0,OFF,0.0,0.0,-0.014533250000000001,33.16417978125668,11.97431362109941,556887306.5567216,4395.114120868126,0.0,0.0
62,MED,0,OFF,0.0,0.0,-0.014533250000000001,33.16417978125668,11.97431362109941,556887306.5567216,4395.114120868126,0.0,0.0
62,ED,0,OFF,0.0,0.0,-0.014533250000000001,33.16417978125668,11.97431362109941,556887306.5567216,4395.114120868126,0.0,0.0
62,CRY,0,OFF,0.0,0.0,-0.014533250000000001,33.16417978125668,11.97431362109941,556887306.5567216,4395.114120868126,0.0,0.0
63,RO,0,OFF,0.0,0.0,-0.018497879999999998,33.164249614141546,11.974717225138315,565869360.7387165,4466.0017182084885,0.0,0.0
63,MED,0,OFF,0.0,0.0,-0.018497879999999998,33.164249614141546,11.974717225138315,565869360.7387165,4466.0017182084885,0.0,0.0
63,ED,0,OFF,0.0,0.0,-0.018497879999999998,33.164249614141546,11.974717225138315,565869360.7387165,4466.0017182084885,0.0,0.0
63,CRY,0,OFF,0.0,0.0,-0.018497879999999998,33.164249614141546,11.974717225138315,565869360.7387165,4466.0017182084885,0.0,0.0
64,RO,0,OFF,0.0,0.0,-0.03093328,33.16431426488218,11.975090878612361,574851413.5169924,4536.891527492275,0.0,0.0
64,MED,0,OFF,0.0,0.0,-0.03093328,33.16431426488218,11.975090878612361,574851413.5169924,4536.891527492275,0.0,0.0
64,ED,0,OFF,0.0,0.0,-0.03093328,33.16431426488218,11.975090878612361,574851413.5169924,4536.891527492275,0.0,0.0
64,CRY,0,OFF,0.0,0.0,-0.03093328,33.16431426488218,11.975090878612361,574851413.5169924,4536.891527492275,0.0,0.0
65,RO,0,OFF,0.0,0.0,-0.04234434,33.16432988344841,11.975181147207513,583833465.9561528,4607.781871145576,0.0,0.0
65,MED,0,OFF,0.0,0.0,-0.04234434,33.16432988344841,11.975181147207513,583833465.9561528,4607.781871145576,0.0,0.0
